Source:,/home/markd/Documents/Solar/charger/charger.sch,,,,,,
Date:,Thu 29 Oct 2020 11:03:08 PM CDT,,,,,,
Tool:,Eeschema 5.1.5-1.fc30,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,100,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,Datasheet
,,J5,OSTT7020150,Connector:Screw_Terminal_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656?qs=sGAEpiMZZMvPvGwLNS67143eXz6yLKIOCsITGMn0Nro%3D
,,L1,7443642200,Device:L,MWD_Footprints:7443642200 _Inductor,,https://www.mouser.com/datasheet/2/445/7443642200-1721886.pdf
,,L2,7443642200,Device:L,MWD_Footprints:7443642200 _Inductor,,https://www.mouser.com/datasheet/2/445/7443642200-1721886.pdf
,,L3,220 uH,Device:L,Inductor_SMD:L_Bourns_SRR1260,,https://www.mouser.com/ProductDetail/Bourns/SRR1260-221K?qs=sGAEpiMZZMv126LJFLh8y2g1MQW3KQGurY%2FzTCT0qxM%3D
,,Q1,CSD18540Q5B,Transistor_FET:CSD18540Q5B,Package_TO_SOT_SMD:TDSON-8-1,,http://www.ti.com/lit/gpn/csd18540q5b
,,Q2,CSD19531Q5A,Transistor_FET:CSD19531Q5A,Package_TO_SOT_SMD:TDSON-8-1,,http://www.ti.com/lit/gpn/csd19531q5a
,,Q3,CSD19531Q5A,Transistor_FET:CSD19531Q5A,Package_TO_SOT_SMD:TDSON-8-1,,http://www.ti.com/lit/gpn/csd19531q5a
,,Q4,CSD19531Q5A,Transistor_FET:CSD19531Q5A,Package_TO_SOT_SMD:TDSON-8-1,,http://www.ti.com/lit/gpn/csd19531q5a
,,Q5,CSD19531Q5A,Transistor_FET:CSD19531Q5A,Package_TO_SOT_SMD:TDSON-8-1,,http://www.ti.com/lit/gpn/csd19531q5a
,,Q6,CSD18540Q5B,Transistor_FET:CSD18540Q5B,Package_TO_SOT_SMD:TDSON-8-1,,http://www.ti.com/lit/gpn/csd18540q5b
,,R1,205,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R2,1k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R3,0.002,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R4,5.11,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R5,950k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R6,50k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R7,205,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R8,205,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R9,205,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R10,205,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R11,1k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R12,2.21,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R13,2.21,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R14,4.42,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R15,2.21,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R16,2.21,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R17,4.42,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R18,1M,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R19,200k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R20,5.6 ohm,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R21,5.6 ohm,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R22,10k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R23,1k,Device:R_US,Resistor_SMD:R_1206_3216Metric,,~
,,R24,0.002,Device:R_US,Resistor_SMD:R_2512_6332Metric,,https://www.mouser.com/ProductDetail/Yageo/PU2512FKMP50R002L?qs=sGAEpiMZZMvdGkrng054t0c0U24Fa%2Fv2NfStLNxNcuIQTzdklHgYjw%3D%3D
,,R25,430k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R26,169k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R27,0 ohm,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R28,0 ohm,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R29,3k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
